election,state,county,precinct,jurisdiction,office,candidate,party,vote_mode,votes,writein,result_status
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,PRESIDENTIAL ELECTORS,JILL STEIN,GRN,MAIL-IN,1,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,UNITED STATES SENATOR,ROBERT P CASEY JR,DEM,ELECTION DAY,109,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,UNITED STATES SENATOR,ROBERT P CASEY JR,DEM,PROVISIONAL,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,UNITED STATES SENATOR,ROBERT P CASEY JR,DEM,MAIL-IN,63,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,UNITED STATES SENATOR,DAVE MCCORMICK,REP,ELECTION DAY,811,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,UNITED STATES SENATOR,DAVE MCCORMICK,REP,PROVISIONAL,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,UNITED STATES SENATOR,DAVE MCCORMICK,REP,MAIL-IN,159,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,UNITED STATES SENATOR,JOHN C THOMAS,LIB,ELECTION DAY,11,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,UNITED STATES SENATOR,JOHN C THOMAS,LIB,PROVISIONAL,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,UNITED STATES SENATOR,JOHN C THOMAS,LIB,MAIL-IN,1,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,UNITED STATES SENATOR,LEILA HAZOU,GRN,ELECTION DAY,3,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,UNITED STATES SENATOR,LEILA HAZOU,GRN,PROVISIONAL,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,UNITED STATES SENATOR,LEILA HAZOU,GRN,MAIL-IN,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,UNITED STATES SENATOR,MARTY SELKER,CON,ELECTION DAY,2,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,UNITED STATES SENATOR,MARTY SELKER,CON,PROVISIONAL,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,UNITED STATES SENATOR,MARTY SELKER,CON,MAIL-IN,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,ATTORNEY GENERAL,EUGENE DEPASQUALE,DEM,ELECTION DAY,89,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,ATTORNEY GENERAL,EUGENE DEPASQUALE,DEM,PROVISIONAL,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,ATTORNEY GENERAL,EUGENE DEPASQUALE,DEM,MAIL-IN,58,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,ATTORNEY GENERAL,DAVE SUNDAY,REP,ELECTION DAY,814,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,ATTORNEY GENERAL,DAVE SUNDAY,REP,PROVISIONAL,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,ATTORNEY GENERAL,DAVE SUNDAY,REP,MAIL-IN,159,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,ATTORNEY GENERAL,ROBERT COWBURN,LIB,ELECTION DAY,10,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,ATTORNEY GENERAL,ROBERT COWBURN,LIB,PROVISIONAL,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,ATTORNEY GENERAL,ROBERT COWBURN,LIB,MAIL-IN,1,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,ATTORNEY GENERAL,RICHARD L WEISS,GRN,ELECTION DAY,1,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,ATTORNEY GENERAL,RICHARD L WEISS,GRN,PROVISIONAL,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,ATTORNEY GENERAL,RICHARD L WEISS,GRN,MAIL-IN,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,ATTORNEY GENERAL,JUSTIN L MAGILL,CON,ELECTION DAY,4,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,ATTORNEY GENERAL,JUSTIN L MAGILL,CON,PROVISIONAL,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,ATTORNEY GENERAL,JUSTIN L MAGILL,CON,MAIL-IN,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,ATTORNEY GENERAL,ERIC L SETTLE,FWD,ELECTION DAY,3,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,ATTORNEY GENERAL,ERIC L SETTLE,FWD,PROVISIONAL,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,ATTORNEY GENERAL,ERIC L SETTLE,FWD,MAIL-IN,1,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,AUDITOR GENERAL,MALCOLM KENYATTA,DEM,ELECTION DAY,80,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,AUDITOR GENERAL,MALCOLM KENYATTA,DEM,PROVISIONAL,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,AUDITOR GENERAL,MALCOLM KENYATTA,DEM,MAIL-IN,58,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,AUDITOR GENERAL,TIM DEFOOR,REP,ELECTION DAY,817,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,AUDITOR GENERAL,TIM DEFOOR,REP,PROVISIONAL,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,AUDITOR GENERAL,TIM DEFOOR,REP,MAIL-IN,161,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,AUDITOR GENERAL,REECE SMITH,LIB,ELECTION DAY,10,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,AUDITOR GENERAL,REECE SMITH,LIB,PROVISIONAL,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,AUDITOR GENERAL,REECE SMITH,LIB,MAIL-IN,1,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,AUDITOR GENERAL,ERIC K ANTON,AS,ELECTION DAY,2,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,AUDITOR GENERAL,ERIC K ANTON,AS,PROVISIONAL,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,AUDITOR GENERAL,ERIC K ANTON,AS,MAIL-IN,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,AUDITOR GENERAL,BOB GOODRICH,CON,ELECTION DAY,9,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,AUDITOR GENERAL,BOB GOODRICH,CON,PROVISIONAL,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,AUDITOR GENERAL,BOB GOODRICH,CON,MAIL-IN,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,STATE TREASURER,ERIN MCCLELLAND,DEM,ELECTION DAY,84,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,STATE TREASURER,ERIN MCCLELLAND,DEM,PROVISIONAL,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,STATE TREASURER,ERIN MCCLELLAND,DEM,MAIL-IN,58,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,STATE TREASURER,STACY GARRITY,REP,ELECTION DAY,826,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,STATE TREASURER,STACY GARRITY,REP,PROVISIONAL,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,STATE TREASURER,STACY GARRITY,REP,MAIL-IN,161,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,STATE TREASURER,NICKOLAS CIESIELSKI,LIB,ELECTION DAY,2,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,STATE TREASURER,NICKOLAS CIESIELSKI,LIB,PROVISIONAL,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,STATE TREASURER,NICKOLAS CIESIELSKI,LIB,MAIL-IN,1,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,STATE TREASURER,TROY BOWMAN,CON,ELECTION DAY,7,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,STATE TREASURER,TROY BOWMAN,CON,PROVISIONAL,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,STATE TREASURER,TROY BOWMAN,CON,MAIL-IN,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,STATE TREASURER,CHRIS FOSTER,FWD,ELECTION DAY,2,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,STATE TREASURER,CHRIS FOSTER,FWD,PROVISIONAL,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,STATE TREASURER,CHRIS FOSTER,FWD,MAIL-IN,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,REPRESENTATIVE IN CONGRESS,BETH FARNHAM,DEM,ELECTION DAY,94,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,REPRESENTATIVE IN CONGRESS,BETH FARNHAM,DEM,PROVISIONAL,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,REPRESENTATIVE IN CONGRESS,BETH FARNHAM,DEM,MAIL-IN,59,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,REPRESENTATIVE IN CONGRESS,JOHN JOYCE,REP,ELECTION DAY,838,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,REPRESENTATIVE IN CONGRESS,JOHN JOYCE,REP,PROVISIONAL,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,REPRESENTATIVE IN CONGRESS,JOHN JOYCE,REP,MAIL-IN,165,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JESSE TOPPER,REP,ELECTION DAY,884,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JESSE TOPPER,REP,PROVISIONAL,0,0,OFFICIAL RESULTS
2024 GENERAL,PENNSYLVANIA,FULTON COUNTY,AYR TOWNSHIP,FULTON COUNTY,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JESSE TOPPER,REP,MAIL-IN,190,0,OFFICIAL RESULTS
